DEALER_ID,DEALER_NAME,DEALER_ADDRESS,DEALER_CITY,DEALER_STATE,DEALER_ZIPCODE,DEALER_PHONE
42031,Star Mazda,1401 S Brand Blvd,Glendale,CA,91204,(818) 247-1903
34391,Town North Mazda,307 South Central Expressway,Richardson,TX,75080,(972) 236-7981
